step	train_tch_4/train_loss
1	0.44258804619312286
2	0.2793467566370964
3	0.21423361524939538
4	0.18890315070748329
5	0.17790042385458946
6	0.1717638000845909
7	0.1696779690682888
8	0.16699102967977525
9	0.16579429656267167
10	0.15844709277153016
11	0.14562953412532806
12	0.14109985306859016
13	0.1348313417285681
14	0.13100509122014045
15	0.1271712824702263
16	0.12419886849820613
17	0.11401506327092648
18	0.1087566077709198
19	0.10714503414928914
20	0.10492272302508354
21	0.10207756906747818
22	0.10415805540978909
23	0.09917553029954433
24	0.0982925184071064
25	0.0960991345345974
26	0.09597214609384537
27	0.096319530159235
28	0.09423238188028335
29	0.09351470805704594
30	0.09315464906394481
31	0.09241995885968209
32	0.09165451526641846
33	0.09119887799024581
34	0.09895658977329731
35	0.09646299220621586
36	0.0921629548072815
37	0.0921441599726677
38	0.09034658446907998
39	0.08996230512857437
40	0.08883040770888329
41	0.0892659842967987
42	0.08882318921387196
43	0.09250293672084808
44	0.08960305154323578
45	0.08996360823512077
46	0.08746471777558326
47	0.08733877204358578
48	0.08675691783428192
49	0.08550123758614063
50	0.08641931004822254
